@relation shear_viscosity_predicted

@attribute Pressure numeric
@attribute Temperature numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute X30 numeric
@attribute X31 numeric
@attribute X32 numeric
@attribute X33 numeric
@attribute X34 numeric
@attribute X35 numeric
@attribute X36 numeric
@attribute X37 numeric
@attribute X38 numeric
@attribute X39 numeric
@attribute X40 numeric
@attribute X41 numeric
@attribute X42 numeric
@attribute X43 numeric
@attribute X44 numeric
@attribute X45 numeric
@attribute X46 numeric
@attribute X47 numeric
@attribute X48 numeric
@attribute X49 numeric
@attribute predictedViscosity numeric
@attribute Viscosity numeric

@data
60000,9000,0.242618,0.167172,0.115716,0.080466,0.056212,0.03945,0.027814,0.0197,0.014019,0.010022,0.007198,0.005194,0.003765,0.002742,0.002007,0.001475,0.00109,0.000809,0.000603,0.000452,0.00034,0.000257,0.000196,0.00015,0.000115,0.000089,0.000069,0.000053,0.000042,0.000033,0.000026,0.000021,0.000017,0.000013,0.000011,0.000009,0.000007,0.000006,0.000005,0.000004,0.000003,0.000003,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.2,0.000111,0.000111
1000,9800,0.112624,0.079997,0.057062,0.040874,0.029402,0.02124,0.015408,0.011225,0.008213,0.006034,0.004453,0.0033,0.002456,0.001835,0.001378,0.001039,0.000786,0.000598,0.000457,0.00035,0.00027,0.000209,0.000163,0.000127,0.0001,0.000078,0.000062,0.000049,0.000039,0.000032,0.000026,0.000021,0.000017,0.000014,0.000011,0.000009,0.000008,0.000006,0.000005,0.000005,0.000004,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000001,0.6,0.000104,0.000104
70000,4500,0.052111,0.02474,0.011854,0.005732,0.002797,0.001378,0.000685,0.000344,0.000174,0.000089,0.000046,0.000024,0.000013,0.000007,0.000004,0.000002,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.000065,0.000064
70000,4600,0.307947,0.148589,0.072342,0.035538,0.017616,0.008811,0.004447,0.002265,0.001164,0.000604,0.000316,0.000167,0.000089,0.000048,0.000026,0.000014,0.000008,0.000004,0.000002,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.000075,0.000076
70000,2200,0.468559,0.102097,0.022668,0.005128,0.001182,0.000278,0.000066,0.000016,0.000004,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.000052,0.000052
100000,1100,0.857187,0.040698,0.002006,0.000103,0.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.000039,0.00004
90000,6100,0.250264,0.144455,0.083947,0.049116,0.028932,0.017159,0.010245,0.006159,0.003728,0.002272,0.001394,0.000862,0.000536,0.000336,0.000212,0.000135,0.000086,0.000055,0.000036,0.000023,0.000015,0.00001,0.000007,0.000005,0.000003,0.000002,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.000087,0.000087
60000,1800,0.84402,0.131083,0.02083,0.003387,0.000563,0.000096,0.000017,0.000003,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000052,0.000052
101325,8400,0.064344,0.043171,0.029108,0.019723,0.013429,0.009189,0.006319,0.004367,0.003033,0.002117,0.001485,0.001047,0.000742,0.000528,0.000378,0.000272,0.000196,0.000143,0.000104,0.000077,0.000056,0.000042,0.000031,0.000023,0.000018,0.000013,0.00001,0.000008,0.000006,0.000005,0.000004,0.000003,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0.8,0.000091,0.000091
60000,6900,0.189247,0.116422,0.072051,0.044858,0.028096,0.017703,0.011222,0.007157,0.004592,0.002964,0.001925,0.001257,0.000827,0.000547,0.000364,0.000244,0.000164,0.000111,0.000076,0.000052,0.000036,0.000025,0.000017,0.000012,0.000009,0.000006,0.000004,0.000003,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.00009,0.00009
