index,importances_mea
0,0.000673852506
1,0.000564593387
2,0.0145151081
3,0.000428880008
4,0.00438651758
5,0.00100300642
6,0.000660900246
7,0.00158265772
8,0.00359757893
9,0.00917366403
10,0.00350262533
11,0.000501945209
12,0.00117426409
13,0.00027567185
14,0.000429937634
15,0.0010592215
16,0.000111391489
17,0.000128379112
18,0.00034218374
19,3.88106017e-05
20,0.000469073603
21,5.95226485e-05
22,0.000196095906
23,8.4345167e-05
24,8.21050582e-05
25,1.64798579e-05
26,1.9845419e-05
27,1.78779899e-05
28,4.23018256e-05
29,2.60921454e-05
30,9.77911168e-05
31,2.99809012e-05
32,3.57436277e-05
33,2.60333588e-05
34,0.000281975801
35,1.38308451e-05
36,7.80266404e-05
37,0.000211995069
38,8.41354702e-05
39,0.000250673747
40,0.000291746216
41,0.00219975478
42,4.58501229e-05
43,0.00164786739
44,0.00283025076
45,0.0111212556
46,0.012716498
47,0.000726982858
48,0.000374935947
49,0.000174666237
50,0.0256284361
51,0.00625783183
52,0.00719815363
53,0.00384603882
