@relation 'dataset_N2N_only_RDm1-weka.filters.unsupervised.attribute.Remove-V-R2,4,13,16,31,34,51,54-55'

@attribute time_s numeric
@attribute X1 numeric
@attribute X10 numeric
@attribute X13 numeric
@attribute X28 numeric
@attribute X31 numeric
@attribute X48 numeric
@attribute p numeric
@attribute RDm1 numeric

@data
0,0.999986,0,0,0,0,0,22324.995,-1288026000000000000000000
0,0.999963,0,0,0,0,0,22325.006,-1287980000000000000000000
0,0.999941,0,0,0,0,0,22325.016,-1287934100000000000000000
0,0.999919,0,0,0,0,0,22325.027,-1287888200000000000000000
0,0.999822,0,0,0,0,0,22325.073,-1287687300000000000000000
0,0.999725,0,0,0,0,0,22325.12,-1287486500000000000000000
0,0.999628,0,0,0,0,0,22325.166,-1287285800000000000000000
0,0.999531,0,0,0,0,0,22325.213,-1287085100000000000000000
0,0.999229,0,0,0,0,0,22325.357,-1286460100000000000000000
0,0.998927,0,0,0,0,0,22325.502,-1285835600000000000000000
0,0.998626,0,0,0,0,0,22325.647,-1285211700000000000000000
0,0.998324,0,0,0,0,0,22325.791,-1284588200000000000000000
0,0.997345,0,0,0,0,0,22326.262,-1282562100000000000000000
0,0.996368,0,0,0,0,0,22326.732,-1280541200000000000000000
0,0.995394,0,0,0,0,0,22327.202,-1278525500000000000000000
0,0.994422,0,0,0,0,0,22327.672,-1276514900000000000000000
0,0.993452,0,0,0,0,0,22328.141,-1274509500000000000000000
0,0.991393,0,0,0,0,0,22329.142,-1270250900000000000000000
0,0.989344,0,0,0,0,0,22330.142,-1266015300000000000000000
0,0.987306,0,0,0,0,0,22331.14,-1261802400000000000000000
0,0.985278,0,0,0,0,0.000001,22332.138,-1257612000000000000000000
0,0.98326,0,0,0,0,0.000001,22333.135,-1253443900000000000000000
0,0.981253,0,0,0,0,0.000001,22334.131,-1249298000000000000000000
0,0.977756,0,0,0,0,0.000001,22335.875,-1242080400000000000000000
0,0.974291,0,0,0,0,0.000001,22337.616,-1234929100000000000000000
0,0.970855,0,0,0,0,0.000001,22339.354,-1227843300000000000000000
0,0.967448,0,0,0,0,0.000001,22341.09,-1220821900000000000000000
0,0.964071,0,0,0,0,0.000001,22342.822,-1213864100000000000000000
0,0.960722,0,0,0,0,0.000002,22344.552,-1206968900000000000000000
0,0.957402,0,0,0,0,0.000002,22346.279,-1200135600000000000000000
0,0.953026,0,0,0,0,0.000002,22348.572,-1191135800000000000000000
0,0.948698,0,0,0,0,0.000002,22350.861,-1182242000000000000000000
0,0.944418,0,0,0,0,0.000002,22353.145,-1173452700000000000000000
0,0.940185,0,0,0,0,0.000002,22355.423,-1164765900000000000000000
0,0.935998,0,0,0,0,0.000003,22357.697,-1156179900000000000000000
0,0.931856,0,0,0,0,0.000003,22359.966,-1147693200000000000000000
0,0.927758,0,0,0,0,0.000003,22362.229,-1139303900000000000000000
0,0.922883,0,0,0,0,0.000003,22364.948,-1129330700000000000000000
0,0.918069,0,0,0,0,0.000003,22367.659,-1119493800000000000000000
0,0.913317,0,0,0,0,0.000004,22370.364,-1109790700000000000000000
0,0.908625,0,0,0,0,0.000004,22373.061,-1100219000000000000000000
0,0.903991,0,0,0,0,0.000004,22375.751,-1090775900000000000000000
0,0.899415,0,0,0,0,0.000004,22378.433,-1081459300000000000000000
0,0.894896,0,0,0,0,0.000004,22381.109,-1072266700000000000000000
0,0.889046,0,0,0,0,0.000005,22384.612,-1060381000000000000000000
0,0.883289,0,0,0,0,0.000005,22388.102,-1048700100000000000000000
0,0.877624,0,0,0,0,0.000005,22391.58,-1037219200000000000000000
0,0.872049,0,0,0,0,0.000006,22395.046,-1025933600000000000000000
0,0.86656,0,0,0,0,0.000006,22398.5,-1014838600000000000000000
0,0.861157,0,0,0,0,0.000006,22401.941,-1003929800000000000000000
0,0.855837,0,0,0,0,0.000006,22405.371,-993202960000000000000000
0,0.849645,0,0,0,0,0.000007,22409.416,-980735190000000000000000
0,0.843564,0,0,0,0,0.000007,22413.443,-968509790000000000000000
0,0.837591,0,0,0,0,0.000008,22417.454,-956520290000000000000000
0,0.831723,0,0,0,0,0.000008,22421.449,-944760460000000000000000
0,0.825959,0,0,0,0,0.000008,22425.426,-933224280000000000000000
0,0.820294,0,0,0,0,0.000009,22429.388,-921905920000000000000000
0,0.814727,0,0,0,0,0.000009,22433.333,-910799780000000000000000
0,0.808139,0,0,0,0,0.000009,22438.069,-897680200000000000000000
0,0.801685,0.000001,0,0,0,0.00001,22442.782,-884852190000000000000000
0,0.795362,0.000001,0,0,0,0.00001,22447.47,-872306930000000000000000
0,0.789165,0.000001,0,0,0,0.000011,22452.136,-860035960000000000000000
0,0.783091,0.000001,0,0,0,0.000011,22456.778,-848031110000000000000000
0,0.777136,0.000002,0,0,0,0.000011,22461.397,-836284550000000000000000
0,0.771297,0.000002,0,0,0,0.000012,22465.993,-824788750000000000000000
0,0.765043,0.000002,0,0,0,0.000012,22470.992,-812498960000000000000000
0,0.758918,0.000003,0,0,0,0.000013,22475.963,-800491120000000000000000
0,0.752921,0.000004,0,0,0,0.000013,22480.907,-788756470000000000000000
0,0.747046,0.000005,0,0,0,0.000014,22485.824,-777286620000000000000000
0,0.741291,0.000005,0,0,0,0.000014,22490.715,-766073500000000000000000
0,0.735651,0.000007,0,0,0,0.000015,22495.578,-755109370000000000000000
0,0.730124,0.000008,0,0,0,0.000015,22500.415,-744386780000000000000000
0,0.724095,0.000009,0,0,0,0.000016,22505.771,-732718980000000000000000
0,0.718198,0.000011,0,0,0,0.000016,22511.095,-721332460000000000000000
0,0.712428,0.000013,0,0,0,0.000017,22516.386,-710218140000000000000000
0,0.706781,0.000015,0.000001,0,0,0.000017,22521.646,-699367290000000000000000
0,0.701254,0.000018,0.000001,0,0,0.000018,22526.873,-688771530000000000000000
0,0.695842,0.000021,0.000001,0,0,0.000018,22532.068,-678422850000000000000000
0,0.690543,0.000024,0.000001,0,0,0.000019,22537.231,-668313540000000000000000
0,0.685352,0.000027,0.000001,0,0,0.000019,22542.363,-658436200000000000000000
0,0.680268,0.000031,0.000001,0,0,0.00002,22547.464,-648783730000000000000000
0,0.675286,0.000035,0.000002,0,0,0.00002,22552.534,-639349300000000000000000
0,0.669465,0.000041,0.000002,0,0,0.000021,22558.548,-628356970000000000000000
