x_s,time_s,Temp,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,rho,v,p,RDm1
2.38639450E-04,5.04282330E-10,1.07559540E+04,9.98625630E-01,1.37230210E-03,2.01623250E-06,3.27202020E-09,5.98844170E-12,1.25088550E-14,2.99963610E-17,8.27404240E-20,2.62651900E-22,1.23794120E-24,3.34828600E-25,3.86282170E-25,4.49966850E-25,5.23026180E-25,6.06618440E-25,7.02036650E-25,8.10696670E-25,9.34143270E-25,1.07405570E-24,1.23225250E-24,1.41069520E-24,1.61149090E-24,1.83689300E-24,2.08930020E-24,2.37125300E-24,2.68542710E-24,3.03462280E-24,3.42175040E-24,3.84980940E-24,4.32186030E-24,4.84098830E-24,5.41025530E-24,6.03263800E-24,6.71095010E-24,7.44774290E-24,8.24518210E-24,9.10489550E-24,1.00277880E-23,1.10138220E-23,1.20617520E-23,1.31688020E-23,1.43301290E-23,1.55372770E-23,1.67717240E-23,1.79770150E-23,1.89496850E-23,1.89682190E-23,5.04514730E-08,6.98981790E-03,8.10557690E+02,2.23256470E+04,-1.28521170E+24
2.91624480E-04,6.16247950E-10,1.07556850E+04,9.98324320E-01,1.67262060E-03,2.99458780E-06,5.86573000E-09,1.27853110E-11,3.13455990E-14,8.69734890E-17,2.73926950E-19,9.80615540E-22,4.49539400E-24,6.17868820E-25,7.00000490E-25,8.15305470E-25,9.47643870E-25,1.09905150E-24,1.27186810E-24,1.46865640E-24,1.69221230E-24,1.94557540E-24,2.23203750E-24,2.55514950E-24,2.91872530E-24,3.32684380E-24,3.78384600E-24,4.29432800E-24,4.86312820E-24,5.49530640E-24,6.19611440E-24,6.97095500E-24,7.82532570E-24,8.76474490E-24,9.79465470E-24,1.09202950E-23,1.21465430E-23,1.34777080E-23,1.49172760E-23,1.64675930E-23,1.81294810E-23,1.99017810E-23,2.17807980E-23,2.37595870E-23,2.58266400E-23,2.79618630E-23,3.01210010E-23,3.21764390E-23,3.37161430E-23,3.34517010E-23,6.16533990E-08,6.99003790E-03,8.10532170E+02,2.23257910E+04,-1.28458820E+24
4.64090150E-04,9.80694750E-10,1.07548090E+04,9.97345130E-01,2.64724420E-03,7.50002140E-06,2.28500470E-08,7.77056690E-11,3.03158030E-13,1.37846000E-15,7.35760910E-18,4.61633050E-20,3.41695190E-22,5.31611920E-24,2.82855020E-24,3.26090770E-24,3.78926440E-24,4.39397930E-24,5.08405110E-24,5.86968390E-24,6.76201770E-24,7.77316470E-24,8.91624400E-24,1.02054070E-23,1.16558550E-23,1.32838370E-23,1.51066360E-23,1.71425330E-23,1.94107320E-23,2.19312570E-23,2.47247950E-23,2.78124770E-23,3.12155740E-23,3.49550930E-23,3.90512290E-23,4.35226600E-23,4.83856190E-23,5.36527240E-23,5.93314920E-23,6.54225170E-23,7.19172560E-23,7.87953310E-23,8.60210450E-23,9.35378460E-23,1.01256150E-22,1.09019620E-22,1.16507220E-22,1.22963690E-22,1.26529380E-22,1.22763350E-22,9.81160590E-08,6.99075420E-03,8.10449130E+02,2.23262620E+04,-1.28256210E+24
6.36555810E-04,1.34514160E-09,1.07539340E+04,9.96368360E-01,3.61744280E-03,1.40055820E-05,5.79834490E-08,2.63602760E-10,1.34111530E-12,7.73259720E-15,5.09064260E-17,3.83992790E-19,3.32611580E-21,3.90971990E-23,7.61933810E-24,8.44470400E-24,9.80708180E-24,1.13703660E-23,1.31540020E-23,1.51842490E-23,1.74898400E-23,2.01020230E-23,2.30546440E-23,2.63842180E-23,3.01299590E-23,3.43337760E-23,3.90402190E-23,4.42963430E-23,5.01514950E-23,5.66569710E-23,6.38655170E-23,7.18306150E-23,8.06055100E-23,9.02418650E-23,1.00787970E-22,1.12286400E-22,1.24770890E-22,1.38262460E-22,1.52764450E-22,1.68256480E-22,1.84687080E-22,2.01964490E-22,2.19943930E-22,2.38405490E-22,2.57005480E-22,2.75157970E-22,2.91750080E-22,3.04507630E-22,3.08712020E-22,2.94829170E-22,1.34579530E-07,6.99147020E-03,8.10366130E+02,2.23267320E+04,-1.28054120E+24
8.09021470E-04,1.70958840E-09,1.07530590E+04,9.95393980E-01,4.58324950E-03,2.24848250E-05,1.17683980E-07,6.67662480E-10,4.16444330E-12,2.88834560E-14,2.24544680E-16,1.96623600E-18,1.94510090E-20,2.29998000E-22,1.77139820E-23,1.74753350E-23,2.02584480E-23,2.34836050E-23,2.71631240E-23,3.13506060E-23,3.61051980E-23,4.14912380E-23,4.75784300E-23,5.44419670E-23,6.21625920E-23,7.08265730E-23,8.05255390E-23,9.13561630E-23,1.03419620E-22,1.16820730E-22,1.31666740E-22,1.48065550E-22,1.66123250E-22,1.85940790E-22,2.07609400E-22,2.31204660E-22,2.56778690E-22,2.84350220E-22,3.13892200E-22,3.45316570E-22,3.78455690E-22,4.13038620E-22,4.48656530E-22,4.84701580E-22,5.20241030E-22,5.53747550E-22,5.82545720E-22,6.01759340E-22,6.02455080E-22,5.68500680E-22,1.71043820E-07,6.99218610E-03,8.10283170E+02,2.23272020E+04,-1.27852550E+24
9.81487140E-04,2.07403520E-09,1.07521850E+04,9.94421970E-01,5.54469690E-03,3.29119590E-05,2.08159600E-07,1.41616550E-09,1.04732770E-11,8.50065220E-14,7.62994970E-16,7.61456880E-18,8.48068050E-20,1.07847990E-21,4.16394230E-23,3.15972890E-23,3.64429070E-23,4.22348240E-23,4.88444710E-23,5.63652240E-23,6.49030660E-23,7.45733550E-23,8.55010780E-23,9.78210680E-23,1.11678090E-22,1.27226760E-22,1.44631150E-22,1.64064170E-22,1.85706340E-22,2.09744080E-22,2.36367010E-22,2.65764310E-22,2.98119400E-22,3.33602790E-22,3.72362400E-22,4.14510750E-22,4.60108300E-22,5.09142260E-22,5.61500360E-22,6.16938640E-22,6.75042010E-22,7.35172810E-22,7.96395010E-22,8.57344160E-22,9.15982910E-22,9.69139760E-22,1.01167950E-21,1.03509650E-21,1.02520440E-21,9.58273110E-22,2.07508950E-07,6.99290180E-03,8.10200240E+02,2.23276720E+04,-1.27651490E+24
1.15395280E-03,2.43848200E-09,1.07513100E+04,9.93452340E-01,6.50181680E-03,4.52617980E-05,3.35422830E-07,2.66209340E-09,2.28011110E-11,2.12382210E-13,2.16591690E-15,2.43148870E-17,3.01702300E-19,4.18533370E-21,1.07435240E-22,5.24630320E-23,5.97085780E-23,6.91716100E-23,7.99833680E-23,9.22834420E-23,1.06244570E-22,1.22055110E-22,1.39919130E-22,1.60056810E-22,1.82704480E-22,2.08114430E-22,2.36554210E-22,2.68305290E-22,3.03660880E-22,3.42922550E-22,3.86395290E-22,4.34380330E-22,4.87165190E-22,5.45009970E-22,6.08128810E-22,6.76665400E-22,7.50661300E-22,8.30015840E-22,9.14436560E-22,1.00337890E-21,1.09597180E-21,1.19092130E-21,1.28637030E-21,1.37967450E-21,1.46702200E-21,1.54279650E-21,1.59854390E-21,1.62132650E-21,1.59103250E-21,1.47571410E-21,2.43974930E-07,6.99361730E-03,8.10117340E+02,2.23281410E+04,-1.27450950E+24
1.52164450E-03,3.21547180E-09,1.07494480E+04,9.91392950E-01,8.52806330E-03,7.78975630E-05,7.56260700E-07,7.81941330E-09,8.68243890E-11,1.04666940E-12,1.38371340E-14,2.02202380E-16,3.28479390E-18,5.96322760E-20,1.31037910E-21,1.47355220E-22,1.39959680E-22,1.61350780E-22,1.86482360E-22,2.15081960E-22,2.47532590E-22,2.84270080E-22,3.25767340E-22,3.72534490E-22,4.25118860E-22,4.84104010E-22,5.50107510E-22,6.23776710E-22,7.05781950E-22,7.96806200E-22,8.97529650E-22,1.00860770E-21,1.13063990E-21,1.26412760E-21,1.40941650E-21,1.56662160E-21,1.73553110E-21,1.91548650E-21,2.10523800E-21,2.30277290E-21,2.50511250E-21,2.70806700E-21,2.90592560E-21,3.09104660E-21,3.25330400E-21,3.37932780E-21,3.45138690E-21,3.44551760E-21,3.32799110E-21,3.04841960E-21,3.21722210E-07,6.99514220E-03,8.09940740E+02,2.23291420E+04,-1.27025090E+24
1.88933620E-03,3.99246160E-09,1.07475870E+04,9.89344150E-01,1.05350740E-02,1.18929410E-04,1.42484670E-06,1.81335200E-08,2.46814810E-10,3.62051660E-12,5.76495760E-14,1.00286330E-15,1.91633260E-17,4.04120650E-19,9.62325950E-21,4.77489530E-22,2.78365780E-22,3.14482690E-22,3.63125260E-22,4.18653290E-22,4.81642360E-22,5.52929900E-22,6.33430810E-22,7.24131970E-22,8.26091520E-22,9.40436080E-22,1.06835470E-21,1.21108860E-21,1.36991370E-21,1.54611520E-21,1.74094910E-21,1.95558770E-21,2.19104230E-21,2.44805840E-21,2.72697500E-21,3.02754260E-21,3.34869380E-21,3.68826610E-21,4.04267830E-21,4.40657130E-21,4.77242530E-21,5.13017570E-21,5.46685420E-21,5.76627920E-21,6.00878920E-21,6.17088930E-21,6.22440990E-21,6.13432190E-21,5.85373120E-21,5.31372200E-21,3.99473540E-07,6.99666630E-03,8.09764310E+02,2.23301420E+04,-1.26601530E+24
2.25702790E-03,4.76945150E-09,1.07457280E+04,9.87305830E-01,1.25231320E-02,1.68135170E-04,2.39222820E-06,3.61011870E-08,5.80524560E-10,9.99703160E-12,1.85328480E-13,3.71880590E-15,8.11935520E-17,1.93784590E-18,5.10661440E-20,1.86602330E-21,5.17366470E-22,5.46928540E-22,6.29911860E-22,7.25908020E-22,8.34814090E-22,9.58030690E-22,1.09713290E-21,1.25382080E-21,1.42991610E-21,1.62735440E-21,1.84817270E-21,2.09448570E-21,2.36844930E-21,2.67220460E-21,3.00779550E-21,3.37705080E-21,3.78141950E-21,4.22174740E-21,4.69798170E-21,5.20879500E-21,5.75112530E-21,6.31964120E-21,6.90616020E-21,7.49907130E-21,8.08284210E-21,8.63771610E-21,9.13970760E-21,9.56094370E-21,9.87023550E-21,1.00334520E-20,1.00128470E-20,9.76401060E-21,9.22855420E-21,8.31967910E-21,4.77229030E-07,6.99818970E-03,8.09588040E+02,2.23311400E+04,-1.26180240E+24
