index,SelectFromModel
x_s,0.0017086210006261946
time_s,0.003891545898263603
Temp,0.17370246475382767
X1,0.010220656837214816
X2,0.001448053679669532
X3,0.0011609448809170985
X4,0.0011843710417153317
X5,0.005110042640592375
X6,0.009754611998353178
X7,0.006105769654021074
X8,0.009780138693752122
X9,0.011209682890621993
X10,0.00925861396772826
X11,0.007731410533274922
X12,0.007962463982622178
X13,0.0009049007893635375
X14,0.002239401449932607
X15,0.004970806274859632
X16,0.0034964850907852254
X17,0.0024695299888669686
X18,0.001623040471567229
X19,0.007484438527014851
X20,0.004018745676526851
X21,0.0026974416177578354
X22,0.0016420015013052134
X23,0.003989872691966708
X24,0.003129072822662942
X25,0.0032907792164837946
X26,0.002782072687027973
X27,0.002720997854683506
X28,0.00027382910374664345
X29,0.0027751834589320496
X30,0.0033268494191166674
X31,1.8121317303708426e-05
X32,0.014871367006943114
X33,0.0005908618849763003
X34,0.0009008082659653907
X35,0.0003518302769527263
X36,0.00015019851031706672
X37,0.0001370701366440963
X38,0.0012944715295960382
X39,0.00019113878346339853
X40,8.755539170696988e-05
X41,0.00016269703849949843
X42,0.0004883436556405076
X43,0.0
X44,0.0
X45,0.0
X46,0.0
X47,0.0
rho,0.42388447883194247
v,0.1370362203022248
p,0.10576999597202336
